product_id,product_category,unit_price,rating
894,6,651.57,4
844,2,945.27,4
865,0,400.44,4
851,3,1268.54,4
794,3,880.81,4
481,3,458.42,4
634,0,623.83,4
225,6,1491.56,4
628,2,791.88,4
664,7,164.42,4
386,4,318.62,4
594,4,103.54,4
379,6,373.33,4
786,7,682.23,4
175,2,837.89,4
766,7,1151.07,4
691,0,693.68,4
250,1,481.83,4
145,7,687.69,4
525,3,806.73,4
842,6,1374.55,4
394,1,361.79,4
237,7,557.98,4
835,2,799.51,5
567,3,853.62,4
367,7,667.9,5
376,0,927.81,4
57,1,161.8,4
750,6,1159.83,4
440,7,1014.28,4
722,1,511.8,4
207,4,180.12,4
72,4,437.0,5
9,5,560.82,4
551,1,789.99,4
819,3,837.27,4
657,3,855.27,4
604,3,1140.72,4
462,2,1434.14,4
105,6,1937.8,4
504,2,986.19,1
341,3,450.96,4
98,1,384.67,4
621,7,829.96,4
733,0,344.48,4
277,2,1113.7,1
626,1,601.67,5
895,6,420.59,4
338,2,1963.8,4
5,1,324.28,4
149,1,182.24,4
737,1,312.41,4
735,6,1369.26,4
838,6,488.23,4
561,5,625.98,4
864,1,162.17,4
658,7,1003.8,4
106,7,752.04,4
418,3,1493.22,4
351,3,702.87,4
85,0,228.95,4
109,0,509.21,4
856,0,544.5,4
839,7,1191.35,4
878,5,1130.83,5
406,5,311.68,5
333,2,1622.05,4
817,3,830.16,4
169,4,377.62,5
408,0,956.9,4
678,4,453.27,4
81,0,766.88,4
239,4,494.63,3
321,4,361.94,5
887,5,1001.55,4
873,7,205.08,4
209,3,1148.23,4
787,5,880.53,4
550,1,240.22,4
461,3,717.73,4
185,2,1576.25,3
295,5,467.97,4
492,5,1155.56,4
147,1,266.92,4
421,0,194.94,4
123,2,1894.89,4
78,6,1392.83,5
139,5,811.02,4
679,7,267.27,4
478,7,537.22,4
741,0,713.73,4
41,5,1299.26,4
266,2,1315.98,4
306,0,712.19,4
884,2,1872.33,4
538,7,850.72,4
419,1,412.72,4
840,0,988.76,4
535,2,1855.47,4
659,5,1311.93,4
364,0,155.36,4
693,3,884.9,4
328,5,1156.58,4
841,1,646.87,4
299,0,605.61,4
761,0,549.85,4
66,5,1289.36,4
432,3,1490.71,4
843,1,346.05,4
335,4,445.17,4
55,3,1168.82,4
119,5,415.02,2
301,3,1499.58,2
855,5,772.57,4
261,7,217.59,4
845,6,625.89,1
821,3,982.23,4
314,2,832.56,4
675,2,1910.48,4
134,1,107.69,3
610,2,981.34,4
300,4,204.24,4
753,5,237.08,4
409,0,482.79,4
400,4,119.85,4
585,1,196.81,5
496,2,1594.29,4
807,5,403.3,4
666,2,1425.39,4
51,6,1922.0,4
857,1,189.57,4
506,3,1207.13,4
62,4,289.18,4
342,7,356.93,4
17,2,943.38,2
499,4,55.65,4
566,6,1103.54,3
860,0,217.58,4
608,4,273.63,4
706,2,978.16,4
726,4,285.21,4
428,4,64.08,4
612,2,1401.02,4
64,0,972.14,3
155,5,1253.85,5
177,6,1391.19,4
789,1,295.93,4
494,1,147.88,4
99,3,761.37,4
245,1,270.76,4
410,6,1251.49,4
814,7,197.03,4
395,4,305.41,4
627,7,374.68,4
178,1,458.63,4
242,5,632.95,4
476,1,489.49,4
353,5,456.74,4
732,6,825.76,5
370,4,486.38,4
403,4,455.57,4
154,1,496.86,4
631,1,646.61,4
415,6,1681.91,4
601,2,1707.61,5
874,3,480.06,4
360,2,1134.82,4
15,2,888.19,4
142,3,520.42,4
578,1,315.75,4
707,5,783.46,4
483,0,536.34,4
622,4,269.37,4
12,2,671.83,4
597,3,502.22,4
572,0,543.67,4
850,7,1017.34,4
218,4,191.56,4
683,0,188.4,4
472,7,255.41,4
670,0,298.03,4
727,4,317.01,4
681,5,213.92,4
849,7,976.56,4
715,1,333.47,4
471,3,593.22,4
83,4,243.59,4
369,3,1386.25,4
545,0,354.8,4
284,3,479.14,4
871,5,1783.44,4
521,0,173.91,4
784,2,1301.52,4
637,7,350.27,4
516,6,1499.31,2
563,7,330.73,4
730,7,222.24,4
32,1,385.29,4
189,1,675.87,4
474,6,739.72,4
90,6,1926.47,4
411,2,569.02,4
11,1,628.99,4
458,6,1136.24,4
191,6,1076.93,4
484,1,378.3,2
810,6,1889.33,4
355,2,992.27,4
373,4,104.17,4
460,3,503.11,5
576,6,1660.47,4
590,7,787.58,4
469,2,768.29,3
65,3,566.88,4
384,2,1902.24,4
891,1,520.82,1
45,5,233.01,4
274,5,1373.19,3
347,3,866.56,4
136,3,1341.88,4
359,1,327.16,4
524,5,423.89,4
152,4,220.6,4
748,3,468.72,4
107,1,662.39,4
241,0,656.54,4
323,5,967.38,5
257,4,144.83,5
255,3,594.95,4
116,3,461.11,4
144,3,937.81,4
806,2,1733.12,4
131,6,764.33,4
615,7,188.09,5
357,7,923.83,4
781,0,460.62,4
487,6,1586.25,4
520,5,383.47,4
869,3,763.3,4
721,0,833.72,4
734,0,806.87,4
354,2,1288.17,4
543,7,1101.56,4
745,3,434.75,4
216,7,150.61,2
252,7,744.74,4
879,7,1076.35,4
433,7,1122.54,4
392,1,682.44,4
739,4,416.01,4
552,4,134.5,4
729,0,820.28,4
591,4,240.51,4
837,6,396.72,4
455,1,101.19,4
880,6,1576.73,4
648,4,138.78,4
760,1,562.67,4
431,6,1333.47,4
172,7,459.2,4
448,1,151.68,4
764,2,948.87,4
712,2,1695.01,4
526,0,831.14,4
118,2,643.12,4
272,4,186.04,4
519,4,411.36,4
776,7,707.9,4
311,4,228.42,3
813,3,1479.37,4
800,7,580.24,4
304,1,411.75,4
417,2,637.02,4
358,4,363.67,4
793,5,1037.82,4
71,3,517.15,4
165,3,1116.82,4
79,0,522.2,2
883,5,659.04,4
40,4,462.41,4
818,6,886.53,4
37,2,925.18,4
507,0,437.32,4
723,4,262.88,4
797,2,567.97,4
636,6,1821.4,4
264,2,1679.8,4
892,1,363.81,3
69,4,192.9,4
393,4,222.75,4
275,2,1229.39,4
135,6,1719.96,4
204,7,560.61,4
540,4,159.45,4
192,4,439.56,4
312,6,870.65,4
146,0,809.69,4
425,2,1418.83,4
606,1,649.88,4
128,2,546.99,4
436,6,1111.54,4
305,0,675.09,4
559,6,1854.95,4
542,3,823.99,4
317,1,208.7,4
674,7,1095.88,5
718,0,435.82,4
641,5,259.68,4
744,0,163.82,4
378,2,1111.92,5
537,5,1486.36,4
832,1,791.58,4
4,6,1968.43,4
569,1,539.58,4
230,7,922.32,4
503,5,222.59,4
14,5,756.88,4
48,4,135.49,4
399,3,1275.1,3
747,3,1497.35,4
584,0,283.03,4
368,6,957.95,3
773,4,432.88,4
228,5,1723.89,4
501,7,609.4,4
429,1,523.6,4
313,2,1651.31,4
629,6,1075.25,5
164,6,1451.03,4
570,4,326.18,4
276,1,570.7,4
103,6,1480.27,4
796,1,529.24,4
811,5,1266.68,4
396,5,272.89,4
117,1,799.81,4
288,2,739.67,4
108,1,673.55,5
6,2,1241.45,4
529,0,986.48,4
282,4,84.93,4
775,7,314.71,4
337,7,322.79,4
562,0,423.05,4
888,6,887.88,2
287,2,1535.28,4
825,2,885.96,4
53,0,447.45,4
